Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L4509 - WLS VIEIRA DE LEIRIA;5182926;GRIPONAL 20 COMP. EFERVESCENTES;5472949;-1;Permanente;GRIPONAL;;17;190,97;WLS VIEIRA DE LEIRIA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0836 - WLS BRAGA FROSSOS;8428119;KUKIDENT PRO SEM SABOR 47G;8700216594745;-1;Permanente;KUKIDENT;;2;20,38;WLS BRAGA FROSSOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L7749 - WLS UBBO SHOPPING;3580611;FIO SUPER-FLOSS ORAL-B 50 FIOS;8700216539005;-1;Permanente;ORAL-B;;18;98,27;WLS UBBO SHOPPING
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L0775 - WLS PINHAL NOVO;8399872;ZZZQUIL FORTE 60 GOMAS;7532242;-1;Permanente;ZZZQUIL;;5;149,95;WLS PINHAL NOVO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L1154 - WLS BARREIRO CNT;8428119;KUKIDENT PRO SEM SABOR 47G;8700216594745;-1;Permanente;KUKIDENT;;1;10,19;WLS BARREIRO CNT
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L6840 - WELLS ONLINE;3580611;FIO SUPER-FLOSS ORAL-B 50 FIOS;8700216539005;-1;Permanente;ORAL-B;;180;885,64;WELLS ONLINE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L9972 - WLS DEFENSOR CHAVES;6697571;KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G;8700216594868;-1;Permanente;KUKIDENT;;3;50,37;WLS DEFENSOR CHAVES
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0082 - WLS MANGUALDE;7479541;TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE;6602797;-1;Permanente;CLEARBLUE;;7;110,6;WLS MANGUALDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0883 - WLS TORRES NOVAS MDL;6081764;TESTE GRAVIDEZ 6 DIAS CLEARBLUE;8700216570961;-1;Permanente;CLEARBLUE;;7;67,9;WLS TORRES NOVAS MDL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0765 - WLS MATOSINHOS;8486814;RECARGA IO ULTIMATE CLEAN BR ORAL-B 4UN;8700216195829;-1;Permanente;ORAL-B;;4;151,96;WLS MATOSINHOS
