Store_Name,Product_Code,Product_Name,Brand,Quantity,Value_Sales_EUR,Source_File,Status
WLS C BRANCO MDL,2997718,VICKS VAPORUB POMADA 50G,Vicks,8,71.84,portalSOnae,MISSING_IN_DATABRIDGE
WLS ERMESINDE,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,9,87.3,portalSOnae,MISSING_IN_DATABRIDGE
WLS CALDAS TAIPAS,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,3,47.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS CAMPO 24 AGOSTO,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,25,224.75,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARCELOS MDL,6780529,VICKS SINEX RESPIR 10ML,Vicks,7,63,portalSOnae,MISSING_IN_DATABRIDGE
WLS MATOSINHOS,2997726,VICKS VAPORUB POMADA 100G,Vicks,8,114.24,portalSOnae,MISSING_IN_DATABRIDGE
WLS GAIA CNT,8608737,VICKS PROTEÇÃO 20ML,Vicks,1,9.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS ÉVORA,5218361,TESTE GRAVIDEZ 1 MINUTO CLEARBLUE,Clearblue,11,88,portalSOnae,MISSING_IN_DATABRIDGE
WLS VIALONGA,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,15,145.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS STO ANT CAVALEIR,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,13,389.87,portalSOnae,MISSING_IN_DATABRIDGE
WLS FRANCELOS,2997718,VICKS VAPORUB POMADA 50G,Vicks,7,62.86,portalSOnae,MISSING_IN_DATABRIDGE
WLS S FELIX MARINHA,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,21,237.3,portalSOnae,MISSING_IN_DATABRIDGE
WLS TOMAR,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,3,47.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS OURÉM,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,6,58.2,portalSOnae,MISSING_IN_DATABRIDGE
WLS SESIMBRA,4670511,TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE,Clearblue,8,126.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS MONTELAVAR,5218361,TESTE GRAVIDEZ 1 MINUTO CLEARBLUE,Clearblue,7,56,portalSOnae,MISSING_IN_DATABRIDGE
WLS ESPOSENDE,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,3,16.47,portalSOnae,MISSING_IN_DATABRIDGE
WLS CAMACHA,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,2,26.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS VALONGO II,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,4,114,portalSOnae,MISSING_IN_DATABRIDGE
